var_name	CDS_name	type
lmlt	lake_mix_layer_temperature	instantaneous
lmld	lake_mix_layer_depth	instantaneous
lblt	lake_bottom_temperature	instantaneous
ltlt	lake_total_layer_temperature	instantaneous
lshf	lake_shape_factor	instantaneous
lict	lake_ice_temperature	instantaneous
licd	lake_ice_depth	instantaneous
snowc	snow_cover	instantaneous
sde	snow_depth	instantaneous
asn	snow_albedo	instantaneous
rsn	snow_density	instantaneous
swvl1	volumetric_soil_water_layer_1	instantaneous
swvl2	volumetric_soil_water_layer_2	instantaneous
swvl3	volumetric_soil_water_layer_3	instantaneous
swvl4	volumetric_soil_water_layer_4	instantaneous
lai_lv	leaf_area_index_low_vegetation	instantaneous
lai_hv	leaf_area_index_high_vegetation	instantaneous
sp	surface_pressure	instantaneous
stl1	soil_temperature_level_1	instantaneous
sd	snow_depth_water_equivalent	instantaneous
u10	10m_u_component_of_wind	instantaneous
v10	10m_v_component_of_wind	instantaneous
t2m	2m_temperature	instantaneous
d2m	2m_dewpoint_temperature	instantaneous
stl2	soil_temperature_level_2	instantaneous
stl3	soil_temperature_level_3	instantaneous
src	skin_reservoir_content	instantaneous
skt	skin_temperature	instantaneous
stl4	soil_temperature_level_4	instantaneous
tsn	temperature_of_snow_layer	instantaneous
fal	forecast_albedo	instantaneous
sro	surface_runoff	accumulated
ssro	sub_surface_runoff	accumulated
smlt	snowmelt	accumulated
sf	snowfall	accumulated
sshf	surface_sensible_heat_flux	accumulated
slhf	surface_latent_heat_flux	accumulated
ssrd	surface_solar_radiation_downwards	accumulated
strd	surface_thermal_radiation_downwards	accumulated
ssr	surface_net_solar_radiation	accumulated
str	surface_net_thermal_radiation	accumulated
e	total_evaporation	accumulated
ro	runoff	accumulated
tp	total_precipitation	accumulated
evatc	evaporation_from_the_top_of_canopy	accumulated
evabs	evaporation_from_bare_soil	accumulated
evaow	evaporation_from_open_water_surfaces_excluding_oceans	accumulated
evavt	evaporation_from_vegetation_transpiration	accumulated
pev	potential_evaporation	accumulated
